year,month,harvest_season,nearest_district,district_state,fire_count
2022,5,rabi,Rupnagar,Punjab,63
2022,5,rabi,Sangrur,Punjab,29
2022,5,rabi,Shahid Bhagat Singh Nagar,Punjab,59
2022,5,rabi,Shahjahanpur,Uttar Pradesh,12
2022,5,rabi,Sirsa,Haryana,21
2022,5,rabi,Sonipat,Haryana,2
2022,5,rabi,Sri Muktsar Sahib,Punjab,158
2022,5,rabi,Tarn Taran,Punjab,149
2022,5,rabi,Yamunanagar,Haryana,59
2022,10,kharif,Ambala,Haryana,50
2022,10,kharif,Amritsar,Punjab,152
2022,10,kharif,Bareilly,Uttar Pradesh,5
2022,10,kharif,Barnala,Punjab,132
2022,10,kharif,Bathinda,Punjab,130
2022,10,kharif,Bhiwani,Haryana,1
2022,10,kharif,Budaun,Uttar Pradesh,6
2022,10,kharif,Etah,Uttar Pradesh,1
2022,10,kharif,Faridkot,Punjab,86
2022,10,kharif,Farrukhabad,Uttar Pradesh,1
2022,10,kharif,Fatehabad,Haryana,51
2022,10,kharif,Fatehgarh Sahib,Punjab,133
2022,10,kharif,Fazilka,Punjab,37
2022,10,kharif,Ferozepur,Punjab,293
2022,10,kharif,Gurdaspur,Punjab,102
2022,10,kharif,Gurugram,Haryana,1
2022,10,kharif,Hisar,Haryana,1
2022,10,kharif,Hoshiarpur,Punjab,5
2022,10,kharif,Jalandhar,Punjab,74
2022,10,kharif,Jind,Haryana,15
2022,10,kharif,Kaithal,Haryana,198
2022,10,kharif,Kapurthala,Punjab,283
2022,10,kharif,Karnal,Haryana,30
2022,10,kharif,Kurukshetra,Haryana,43
2022,10,kharif,Lakhimpur Kheri,Uttar Pradesh,3
2022,10,kharif,Ludhiana,Punjab,76
2022,10,kharif,Mainpuri,Uttar Pradesh,1
2022,10,kharif,Malerkotla,Punjab,93
2022,10,kharif,Mansa,Punjab,76
2022,10,kharif,Moga,Punjab,197
2022,10,kharif,Palwal,Haryana,3
2022,10,kharif,Panchkula,Haryana,10
2022,10,kharif,Panipat,Haryana,5
2022,10,kharif,Patiala,Punjab,212
2022,10,kharif,Pilibhit,Uttar Pradesh,47
2022,10,kharif,Rupnagar,Punjab,19
2022,10,kharif,S.A.S. Nagar (Mohali),Punjab,16
2022,10,kharif,Sangrur,Punjab,264
2022,10,kharif,Shahid Bhagat Singh Nagar,Punjab,44
2022,10,kharif,Shahjahanpur,Uttar Pradesh,19
2022,10,kharif,Sirsa,Haryana,31
2022,10,kharif,Sonipat,Haryana,2
2022,10,kharif,Sri Muktsar Sahib,Punjab,82
2022,10,kharif,Tarn Taran,Punjab,370
2022,10,kharif,Yamunanagar,Haryana,34
2022,11,kharif,Ambala,Haryana,21
2022,11,kharif,Amritsar,Punjab,45
2022,11,kharif,Bareilly,Uttar Pradesh,25
2022,11,kharif,Barnala,Punjab,532
2022,11,kharif,Bathinda,Punjab,695
2022,11,kharif,Bhiwani,Haryana,1
2022,11,kharif,Budaun,Uttar Pradesh,1
2022,11,kharif,Etah,Uttar Pradesh,2
2022,11,kharif,Faridabad,Haryana,7
2022,11,kharif,Faridkot,Punjab,468
2022,11,kharif,Farrukhabad,Uttar Pradesh,2
2022,11,kharif,Fatehabad,Haryana,134
2022,11,kharif,Fatehgarh Sahib,Punjab,94
2022,11,kharif,Fazilka,Punjab,374
2022,11,kharif,Ferozepur,Punjab,400
2022,11,kharif,Firozabad,Uttar Pradesh,2
2022,11,kharif,Gurdaspur,Punjab,15
2022,11,kharif,Hardoi,Uttar Pradesh,6
2022,11,kharif,Hisar,Haryana,9
2022,11,kharif,Hoshiarpur,Punjab,5
2022,11,kharif,Jalandhar,Punjab,42
2022,11,kharif,Jind,Haryana,57
2022,11,kharif,Kaithal,Haryana,160
2022,11,kharif,Kannauj,Uttar Pradesh,2
2022,11,kharif,Kapurthala,Punjab,59
2022,11,kharif,Karnal,Haryana,6
2022,11,kharif,Kurukshetra,Haryana,1
2022,11,kharif,Lakhimpur Kheri,Uttar Pradesh,7
2022,11,kharif,Ludhiana,Punjab,141
2022,11,kharif,Mahendragarh,Haryana,6
2022,11,kharif,Mainpuri,Uttar Pradesh,4
2022,11,kharif,Malerkotla,Punjab,221
2022,11,kharif,Mansa,Punjab,422
2022,11,kharif,Moga,Punjab,663
2022,11,kharif,Palwal,Haryana,5
2022,11,kharif,Panchkula,Haryana,4
2022,11,kharif,Panipat,Haryana,21
2022,11,kharif,Patiala,Punjab,181
2022,11,kharif,Pilibhit,Uttar Pradesh,35
2022,11,kharif,Rohtak,Haryana,18
2022,11,kharif,Rupnagar,Punjab,26
2022,11,kharif,S.A.S. Nagar (Mohali),Punjab,4
2022,11,kharif,Sangrur,Punjab,481
2022,11,kharif,Shahid Bhagat Singh Nagar,Punjab,85
2022,11,kharif,Shahjahanpur,Uttar Pradesh,15
2022,11,kharif,Sirsa,Haryana,158
2022,11,kharif,Sitapur,Uttar Pradesh,10
2022,11,kharif,Sonipat,Haryana,8
2022,11,kharif,Sri Muktsar Sahib,Punjab,734
2022,11,kharif,Tarn Taran,Punjab,89
2022,11,kharif,Yamunanagar,Haryana,19
2023,4,rabi,Bareilly,Uttar Pradesh,7
2023,4,rabi,Barnala,Punjab,6
2023,4,rabi,Bathinda,Punjab,47
2023,4,rabi,Etah,Uttar Pradesh,1
2023,4,rabi,Faridabad,Haryana,3
2023,4,rabi,Faridkot,Punjab,2
2023,4,rabi,Farrukhabad,Uttar Pradesh,1
2023,4,rabi,Fatehabad,Haryana,5
2023,4,rabi,Fazilka,Punjab,8
2023,4,rabi,Gurdaspur,Punjab,6
2023,4,rabi,Gurugram,Haryana,1
2023,4,rabi,Hardoi,Uttar Pradesh,1
2023,4,rabi,Hisar,Haryana,2
2023,4,rabi,Hoshiarpur,Punjab,1
2023,4,rabi,Jhajjar,Haryana,1
2023,4,rabi,Jind,Haryana,4
2023,4,rabi,Kaithal,Haryana,3
2023,4,rabi,Kapurthala,Punjab,2
2023,4,rabi,Karnal,Haryana,2
2023,4,rabi,Kurukshetra,Haryana,1
2023,4,rabi,Lakhimpur Kheri,Uttar Pradesh,23
2023,4,rabi,Malerkotla,Punjab,1
2023,4,rabi,Mansa,Punjab,8
2023,4,rabi,Moga,Punjab,4
2023,4,rabi,Nuh,Haryana,1
2023,4,rabi,Palwal,Haryana,10
2023,4,rabi,Panchkula,Haryana,4
2023,4,rabi,Panipat,Haryana,14
2023,4,rabi,Pathankot,Punjab,3
2023,4,rabi,Patiala,Punjab,2
2023,4,rabi,Pilibhit,Uttar Pradesh,68
2023,4,rabi,Rewari,Haryana,1
2023,4,rabi,Rohtak,Haryana,4
2023,4,rabi,Sangrur,Punjab,3
2023,4,rabi,Shahjahanpur,Uttar Pradesh,15
2023,4,rabi,Sirsa,Haryana,10
2023,4,rabi,Sitapur,Uttar Pradesh,1
2023,4,rabi,Sonipat,Haryana,5
2023,4,rabi,Yamunanagar,Haryana,27
2023,5,rabi,Ambala,Haryana,29
2023,5,rabi,Amritsar,Punjab,134
2023,5,rabi,Bareilly,Uttar Pradesh,6
2023,5,rabi,Barnala,Punjab,93
2023,5,rabi,Bathinda,Punjab,154
2023,5,rabi,Bhiwani,Haryana,4
2023,5,rabi,Budaun,Uttar Pradesh,1
2023,5,rabi,Charkhi Dadri,Haryana,2
2023,5,rabi,Faridabad,Haryana,4
2023,5,rabi,Faridkot,Punjab,76
2023,5,rabi,Fatehabad,Haryana,24
2023,5,rabi,Fatehgarh Sahib,Punjab,18
2023,5,rabi,Fazilka,Punjab,62
2023,5,rabi,Ferozepur,Punjab,86
2023,5,rabi,Gurdaspur,Punjab,141
2023,5,rabi,Hardoi,Uttar Pradesh,3
2023,5,rabi,Hisar,Haryana,6
2023,5,rabi,Hoshiarpur,Punjab,36
2023,5,rabi,Jalandhar,Punjab,53
2023,5,rabi,Jhajjar,Haryana,1
2023,5,rabi,Jind,Haryana,17
2023,5,rabi,Kaithal,Haryana,66
2023,5,rabi,Kannauj,Uttar Pradesh,1
2023,5,rabi,Kapurthala,Punjab,65
2023,5,rabi,Karnal,Haryana,14
2023,5,rabi,Kurukshetra,Haryana,10
2023,5,rabi,Lakhimpur Kheri,Uttar Pradesh,7
2023,5,rabi,Ludhiana,Punjab,84
2023,5,rabi,Mainpuri,Uttar Pradesh,2
2023,5,rabi,Malerkotla,Punjab,75
2023,5,rabi,Mansa,Punjab,31
2023,5,rabi,Moga,Punjab,245
2023,5,rabi,Palwal,Haryana,2
2023,5,rabi,Panchkula,Haryana,2
2023,5,rabi,Panipat,Haryana,21
2023,5,rabi,Pathankot,Punjab,18
2023,5,rabi,Patiala,Punjab,55
2023,5,rabi,Pilibhit,Uttar Pradesh,30
2023,5,rabi,Rewari,Haryana,1
2023,5,rabi,Rohtak,Haryana,29
2023,5,rabi,Rupnagar,Punjab,5
